number of nodes,number of edges,depth,width,diameter
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
40,39,13,6,19
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
52,51,24,4,25
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
29,28,13,4,15
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
16,15,7,3,8
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
45,44,14,10,15
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
37,36,14,7,16
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
13,12,6,3,8
1,0,1,1,-1
11,10,4,3,6
23,22,11,4,12
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
5,4,2,3,3
24,23,11,3,13
8,7,4,3,5
8,7,4,3,5
25,24,11,3,12
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
38,37,15,4,16
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
6,5,2,3,4
43,42,15,7,19
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
8,7,4,3,5
8,7,4,3,5
1,0,1,1,-1
23,22,8,5,12
8,7,4,3,5
8,7,4,3,5
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
32,31,11,5,15
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
6,5,2,3,4
62,61,23,5,24
8,7,3,3,4
3,2,1,2,2
3,2,1,2,2
32,31,11,5,13
1,0,1,1,-1
57,56,15,7,19
45,44,16,5,20
28,27,13,4,14
12,11,5,3,6
11,10,5,3,6
13,12,6,4,8
12,11,5,3,6
6,5,2,3,4
76,75,24,6,26
1,0,1,1,-1
20,19,8,5,9
20,19,8,5,9
1,0,1,1,-1
6,5,3,3,4
14,13,7,3,8
14,13,7,3,8
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
11,10,6,3,6
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
154,153,27,21,35
1,0,1,1,-1
22,21,11,3,12
22,21,11,3,12
67,66,21,6,22
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
30,29,8,6,12
29,28,9,6,13
24,23,11,3,13
1,0,1,1,-1
1,0,1,1,-1
41,40,11,7,19
45,44,14,5,16
21,20,10,3,11
1,0,1,1,-1
5,4,2,2,3
11,10,4,5,7
11,10,4,4,6
24,23,10,4,12
40,39,13,8,14
27,26,12,4,14
32,31,10,5,13
8,7,4,3,5
13,12,6,4,7
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
24,23,11,3,13
40,39,14,6,15
3,2,1,2,2
40,39,14,6,15
75,74,18,12,23
11,10,5,3,6
20,19,7,5,9
5,4,2,2,3
13,12,5,5,8
6,5,3,3,4
1,0,1,1,-1
3,2,1,2,2
14,13,5,5,8
6,5,2,3,4
108,107,36,7,38
3,2,1,2,2
3,2,1,2,2
23,22,10,4,11
26,25,12,5,13
33,32,14,5,15
11,10,6,3,7
11,10,6,3,7
16,15,5,4,7
25,24,8,5,11
21,20,5,6,10
8,7,4,3,5
8,7,4,3,5
1,0,1,1,-1
24,23,11,3,13
8,7,4,3,5
8,7,4,3,5
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
11,10,5,3,6
18,17,7,5,8
10,9,5,3,6
10,9,5,3,6
15,14,6,5,9
125,124,45,8,46
20,19,8,3,10
6,5,3,3,4
20,19,7,5,10
6,5,3,3,4
11,10,5,3,6
19,18,8,3,9
19,18,8,3,9
19,18,8,3,9
6,5,3,3,4
1,0,1,1,-1
3,2,1,2,2
8,7,3,3,4
83,82,27,8,29
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
13,12,6,3,7
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
13,12,6,3,7
1,0,1,1,-1
1,0,1,1,-1
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
1,0,1,1,-1
1,0,1,1,-1
17,16,8,3,9
10,9,5,3,6
125,124,27,10,35
1,0,1,1,-1
10,9,5,3,6
6,5,2,3,4
16,15,5,5,7
1,0,1,1,-1
10,9,5,3,6
1,0,1,1,-1
1,0,1,1,-1
10,9,5,3,6
10,9,5,3,6
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
26,25,7,6,14
1,0,1,1,-1
98,97,21,7,33
33,32,9,7,14
127,126,27,9,42
15,14,5,5,9
6,5,3,3,4
18,17,8,4,10
60,59,20,6,22
1,0,1,1,-1
16,15,8,3,9
15,14,5,5,9
6,5,3,3,4
18,17,8,4,10
73,72,22,8,24
1,0,1,1,-1
16,15,8,3,9
36,35,14,5,15
47,46,16,6,20
67,66,18,7,21
27,26,11,4,12
25,24,11,3,12
30,29,13,4,14
25,24,11,3,12
30,29,13,4,14
19,18,8,3,9
6,5,3,3,4
15,14,7,3,8
20,19,10,3,11
4,3,2,2,3
4,3,2,2,3
32,31,11,5,12
6,5,2,3,4
71,70,19,8,27
1,0,1,1,-1
1,0,1,1,-1
66,65,22,7,23
61,60,19,6,27
8,7,4,3,5
8,7,4,3,5
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
29,28,9,6,13
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
8,7,4,3,5
48,47,16,6,19
46,45,10,8,14
23,22,8,6,9
46,45,13,7,16
72,71,25,5,26
9,8,5,3,6
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
8,7,4,3,5
8,7,3,3,5
25,24,7,6,10
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
8,7,3,3,5
25,24,7,6,10
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
19,18,8,3,9
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
8,7,4,3,5
8,7,4,3,5
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
8,7,4,3,5
8,7,4,3,5
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
10,9,5,3,6
10,9,5,3,6
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
17,16,8,3,9
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
9,8,5,3,6
6,5,3,3,4
5,4,2,2,3
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,3,3,5
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
44,43,19,5,21
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
25,24,11,4,12
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
68,67,23,6,24
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
18,17,7,5,8
8,7,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
45,44,10,8,15
12,11,6,3,7
77,76,18,7,25
1,0,1,1,-1
3,2,1,2,2
26,25,12,5,15
23,22,6,7,12
91,90,30,6,33
22,21,10,3,12
84,83,26,7,28
37,36,14,5,16
11,10,6,3,7
7,6,3,3,4
3,2,1,2,2
3,2,1,2,2
22,21,11,3,12
27,26,11,4,12
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
6,5,3,3,4
6,5,2,3,4
1,0,1,1,-1
27,26,12,4,13
26,25,10,5,11
23,22,8,5,12
8,7,4,3,5
1,0,1,1,-1
3,2,1,2,2
17,16,6,5,8
17,16,7,3,9
29,28,11,5,15
3,2,1,2,2
56,55,22,5,24
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
1,0,1,1,-1
1,0,1,1,-1
8,7,3,3,4
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
6,5,2,3,4
1,0,1,1,-1
8,7,4,3,5
6,5,3,3,4
1,0,1,1,-1
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
6,5,2,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
8,7,3,3,4
6,5,2,3,4
3,2,1,2,2
34,33,18,3,19
3,2,1,2,2
3,2,1,2,2
6,5,3,3,4
3,2,1,2,2
3,2,1,2,2
6,5,3,3,4
3,2,1,2,2
3,2,1,2,2
28,27,14,3,15
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
20,19,10,3,11
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
20,19,10,3,11
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
12,11,6,3,7
3,2,1,2,2
3,2,1,2,2
8,7,4,3,5
3,2,1,2,2
8,7,4,3,5
3,2,1,2,2
12,11,6,3,7
3,2,1,2,2
3,2,1,2,2
6,5,2,3,4
1,0,1,1,-1
3,2,1,2,2
8,7,4,3,5
6,5,3,3,4
1,0,1,1,-1
6,5,2,3,4
8,7,3,3,4
6,5,2,3,4
6,5,2,3,4
1,0,1,1,-1
8,7,4,3,5
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
22,21,7,5,10
15,14,7,4,8
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
16,15,8,3,9
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
66,65,12,13,14
3,2,1,2,2
1,0,1,1,-1
108,107,13,14,24
6,5,3,3,4
8,7,4,3,5
6,5,2,3,4
3,2,1,2,2
3,2,1,2,2
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
3,2,1,2,2
6,5,2,3,4
10,9,4,3,5
10,9,4,3,5
10,9,4,3,5
10,9,4,3,5
10,9,4,3,5
10,9,4,3,5
10,9,4,3,5
6,5,2,3,4
10,9,4,3,5
10,9,4,3,5
6,5,2,3,4
3,2,1,2,2
8,7,4,3,5
19,18,8,4,9
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
8,7,3,3,4
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
325,324,18,55,22
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
126,125,27,12,28
15,14,6,3,8
15,14,6,3,8
15,14,6,3,8
30,29,13,4,15
246,245,71,9,73
3,2,1,2,2
6,5,2,3,4
23,22,11,3,13
27,26,12,4,14
21,20,9,4,11
42,41,14,8,16
32,31,14,4,16
51,50,14,7,16
27,26,12,4,14
39,38,15,5,17
22,21,8,4,10
6,5,3,2,4
3,2,1,2,2
24,23,11,4,13
49,48,14,7,16
49,48,14,7,16
27,26,12,4,14
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
3,2,1,2,2
46,45,13,9,14
6,5,2,3,4
27,26,9,6,11
80,79,17,11,18
107,106,24,9,35
3,2,1,2,2
1,0,1,1,-1
17,16,5,6,8
1,0,1,1,-1
4,3,2,2,3
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
25,24,8,6,11
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
8,7,3,3,4
25,24,11,3,12
262,261,46,12,59
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
23,22,9,4,12
14,13,6,4,8
40,39,13,8,14
27,26,12,4,14
8,7,3,3,5
45,44,16,4,18
45,44,16,4,18
1,0,1,1,-1
1,0,1,1,-1
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
1,0,1,1,-1
1,0,1,1,-1
15,14,7,3,8
7,6,3,3,4
1,0,1,1,-1
23,22,10,6,11
12,11,5,3,7
12,11,5,3,7
245,244,39,14,61
57,56,12,10,22
80,79,17,12,25
51,50,17,9,17
33,32,16,5,17
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
6,5,2,3,4
1,0,1,1,-1
47,46,21,4,22
163,162,37,12,39
104,103,27,8,34
181,180,24,12,43
150,149,23,12,40
10,9,4,3,6
10,9,4,3,6
4,3,2,2,3
4,3,2,2,3
6,5,2,3,4
263,262,59,11,78
21,20,7,6,10
1,0,1,1,-1
45,44,20,5,22
61,60,14,10,25
109,108,25,10,42
14,13,7,3,9
18,17,8,3,10
20,19,7,5,11
45,44,13,7,16
12,11,5,3,7
12,11,5,3,7
71,70,24,6,30
17,16,5,5,8
32,31,14,4,14
12,11,3,6,5
62,61,15,9,24
34,33,12,6,13
1,0,1,1,-1
3,2,1,2,2
6,5,3,3,4
6,5,2,3,4
6,5,2,3,4
8,7,3,3,5
18,17,8,3,10
20,19,10,3,11
6,5,3,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
20,19,8,5,11
51,50,17,7,18
17,16,5,5,9
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
47,46,17,5,20
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
12,11,5,3,7
6,5,2,3,4
1,0,1,1,-1
24,23,11,3,13
12,11,5,3,7
1,0,1,1,-1
6,5,3,3,4
9,8,3,3,5
8,7,3,3,4
1,0,1,1,-1
4,3,2,2,3
6,5,3,2,4
6,5,2,3,4
6,5,3,3,4
1,0,1,1,-1
19,18,9,3,10
12,11,5,3,7
12,11,5,3,7
18,17,8,3,9
1,0,1,1,-1
11,10,5,3,7
6,5,2,3,4
11,10,5,3,7
27,26,13,3,15
13,12,5,4,7
68,67,18,8,20
8,7,3,3,5
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
10,9,5,3,6
1,0,1,1,-1
1,0,1,1,-1
100,99,27,9,28
20,19,9,3,11
12,11,5,3,7
12,11,5,3,7
12,11,5,3,7
24,23,11,3,13
41,40,16,5,19
16,15,8,3,9
12,11,5,3,7
12,11,5,3,7
12,11,5,3,7
8,7,3,3,5
128,127,25,9,41
3,2,1,2,2
14,13,5,6,7
58,57,28,4,32
38,37,12,5,16
32,31,9,5,12
30,29,8,6,12
33,32,17,4,18
6,5,2,3,4
28,27,13,3,14
6,5,2,3,4
6,5,2,3,4
5,4,2,2,3
3,2,1,2,2
6,5,2,3,4
20,19,9,3,10
22,21,10,4,13
14,13,6,3,7
24,23,11,3,12
12,11,5,3,7
8,7,3,3,5
14,13,7,3,9
8,7,4,3,5
8,7,3,3,5
8,7,3,3,5
33,32,13,4,15
8,7,3,3,5
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
14,13,6,3,8
9,8,4,3,5
11,10,4,3,5
1,0,1,1,-1
32,31,15,3,16
95,94,33,7,34
25,24,12,3,13
137,136,30,16,31
6,5,3,3,4
50,49,20,5,21
1,0,1,1,-1
25,24,12,3,14
39,38,15,5,16
22,21,9,4,10
5,4,2,2,3
1,0,1,1,-1
8,7,4,3,5
13,12,5,3,7
41,40,15,5,20
25,24,12,3,14
39,38,15,5,16
22,21,9,4,10
1,0,1,1,-1
5,4,2,2,3
41,40,15,5,20
16,15,7,3,9
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
20,19,9,3,11
33,32,12,5,15
12,11,6,3,7
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
3,2,1,2,2
12,11,4,4,6
26,25,9,4,12
10,9,4,3,5
3,2,1,2,2
108,107,34,7,40
6,5,3,3,4
3,2,1,2,2
3,2,1,2,2
112,111,23,13,34
6,5,3,3,4
82,81,25,6,26
3,2,1,2,2
13,12,6,3,8
35,34,17,4,18
22,21,8,6,9
1,0,1,1,-1
3,2,1,2,2
176,175,33,12,41
118,117,22,14,34
6,5,3,3,4
1,0,1,1,-1
50,49,18,5,20
136,135,30,9,39
8,7,3,3,5
20,19,8,5,11
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
41,40,18,4,19
6,5,2,3,4
6,5,2,3,4
95,94,24,10,26
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
8,7,3,3,5
6,5,2,3,4
1,0,1,1,-1
31,30,10,5,16
23,22,9,4,10
3,2,1,2,2
16,15,7,3,8
3,2,1,2,2
17,16,3,11,5
1,0,1,1,-1
10,9,4,4,5
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
10,9,4,4,5
1,0,1,1,-1
1,0,1,1,-1
17,16,8,4,8
3,2,1,2,2
8,7,3,3,5
32,31,12,4,12
1,0,1,1,-1
10,9,6,3,6
3,2,1,2,2
56,55,23,7,25
10,9,4,3,6
17,16,7,4,9
16,15,7,3,9
16,15,7,3,9
21,20,10,3,12
336,335,37,25,43
12,11,6,3,7
23,22,9,4,11
15,14,7,3,9
92,91,35,6,37
18,17,9,3,10
25,24,11,4,13
54,53,21,5,23
73,72,27,6,28
48,47,21,5,22
6,5,3,3,4
33,32,16,3,17
338,337,103,11,109
39,38,15,5,17
22,21,7,5,10
28,27,11,5,12
5,4,2,3,3
3,2,1,2,2
31,30,14,4,15
6,5,2,3,4
16,15,7,3,9
58,57,26,4,27
42,41,20,4,21
54,53,21,5,23
10,9,4,4,5
1,0,1,1,-1
10,9,6,3,6
3,2,1,2,2
13,12,6,3,7
1,0,1,1,-1
54,53,27,3,29
1,0,1,1,-1
66,65,32,3,34
80,79,19,10,22
52,51,17,5,17
64,63,20,5,21
32,31,12,5,12
129,128,37,6,38
32,31,12,5,12
56,55,18,5,19
32,31,12,5,12
129,128,37,6,38
32,31,12,5,12
108,107,31,5,32
32,31,12,5,12
56,55,18,5,19
32,31,12,5,12
72,71,22,5,23
32,31,12,5,12
32,31,12,5,12
32,31,15,3,17
32,31,12,5,12
60,59,19,5,20
68,67,21,5,22
32,31,12,5,12
76,75,23,5,24
32,31,12,5,12
122,121,13,38,16
18,17,5,5,9
1,0,1,1,-1
22,21,10,3,11
18,17,8,3,9
8,7,3,3,4
20,19,9,3,11
23,22,9,4,10
1,0,1,1,-1
20,19,8,4,9
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
6,5,3,3,4
149,148,35,9,43
15,14,7,4,8
3,2,1,2,2
1,0,1,1,-1
8,7,3,3,4
3,2,1,2,2
62,61,21,6,24
1,0,1,1,-1
8,7,4,3,5
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
8,7,4,3,5
12,11,4,5,7
8,7,3,4,5
1,0,1,1,-1
3,2,1,2,2
22,21,11,3,12
48,47,21,4,23
8,7,3,3,4
32,31,13,4,15
1,0,1,1,-1
8,7,3,3,4
6,5,3,3,4
3,2,1,2,2
11,10,5,3,6
11,10,4,3,5
1,0,1,1,-1
36,35,16,5,17
6,5,2,3,4
18,17,8,3,9
8,7,3,3,5
16,15,8,3,9
12,11,5,4,6
101,100,50,3,51
10,9,4,3,5
1,0,1,1,-1
10,9,4,3,5
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
40,39,14,5,16
3,2,1,2,2
16,15,7,3,8
10,9,4,3,5
3,2,1,2,2
20,19,9,3,10
10,9,4,3,5
45,44,7,12,10
40,39,16,4,18
12,11,5,3,6
12,11,5,3,6
12,11,5,3,6
12,11,5,3,6
13,12,6,3,8
100,99,34,8,36
1,0,1,1,-1
47,46,21,4,22
237,236,97,6,98
30,29,12,5,13
39,38,15,5,17
42,41,20,4,22
10,9,4,3,5
3,2,1,2,2
3,2,1,2,2
15,14,7,3,8
17,16,8,3,9
3,2,1,2,2
8,7,4,3,5
8,7,3,3,4
18,17,7,4,9
8,7,3,3,4
22,21,7,5,9
9,8,5,3,5
8,7,3,3,4
5,4,2,3,3
3,2,1,2,2
8,7,4,3,5
126,125,52,5,53
8,7,3,3,5
10,9,4,3,5
3,2,1,2,2
17,16,8,3,9
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
118,117,58,4,59
14,13,6,3,7
3,2,1,2,2
10,9,4,4,5
3,2,1,2,2
3,2,1,2,2
48,47,24,3,25
10,9,4,3,5
10,9,4,3,5
48,47,24,3,25
10,9,4,3,5
10,9,4,3,5
6,5,2,3,4
8,7,3,3,5
1,0,1,1,-1
14,13,7,3,8
6,5,3,3,4
6,5,3,3,4
13,12,5,5,6
31,30,9,7,15
27,26,12,4,13
66,65,27,5,28
117,116,40,8,48
1,0,1,1,-1
1,0,1,1,-1
45,44,22,3,23
8,7,3,3,5
12,11,6,3,7
8,7,3,4,5
3,2,1,2,2
3,2,1,2,2
36,35,13,5,15
8,7,3,3,5
1,0,1,1,-1
9,8,4,3,5
8,7,3,4,5
136,135,64,6,65
9,8,5,2,6
1,0,1,1,-1
22,21,10,3,11
10,9,4,3,5
8,7,3,4,5
8,7,3,4,5
135,134,66,5,67
10,9,4,3,5
10,9,4,3,5
3,2,1,2,2
8,7,3,4,5
8,7,3,4,5
76,75,33,5,34
8,7,3,3,5
1,0,1,1,-1
8,7,3,3,5
